Account length,Customer service calls,International plan,Number vmail messages,Total day calls,Total day charge,Total day minutes,Total eve calls,Total eve charge,Total eve minutes,Total intl calls,Total intl charge,Total intl minutes,Total night calls,Total night charge,Total night minutes,Voice mail plan,Changed
98,1,No,0,99,29.19,171.7,87,14.86,174.8,6,2.11,7.8,130,8.53,189.6,No,False
51,0,No,28,121,47.04,276.7,99,17.31,203.7,3,2.24,8.3,88,11.08,246.2,Yes,False
107,1,No,0,101,37.79,222.3,111,24.31,286.0,4,3.27,12.1,117,11.22,249.4,No,True
147,0,Yes,0,79,26.69,157.0,94,8.76,103.1,6,1.92,7.1,96,9.53,211.8,No,False
41,0,No,22,102,36.35,213.8,86,12.05,141.8,3,1.94,7.2,123,6.4,142.2,Yes,False
90,3,No,0,71,30.45,179.1,81,16.2,190.6,7,2.86,10.6,91,5.75,127.7,No,False
123,3,No,0,115,35.17,206.9,86,19.07,224.4,2,2.24,8.3,60,8.88,197.4,No,False
82,3,No,0,90,35.19,207.0,83,19.8,232.9,8,2.46,9.1,108,7.76,172.4,No,False
137,3,No,0,118,41.16,242.1,93,16.24,191.0,2,3.97,14.7,50,9.84,218.6,No,False
63,1,No,0,78,21.88,128.7,133,20.47,240.8,6,3.46,12.8,121,10.7,237.7,No,False
102,2,No,25,100,23.36,137.4,83,15.02,176.7,6,2.75,10.2,93,8.47,188.2,Yes,False
129,1,No,37,94,34.85,205.0,103,14.06,165.4,8,3.16,11.7,81,8.32,185.0,Yes,False
67,1,No,30,107,22.03,129.6,104,19.81,233.0,5,3.92,14.5,93,13.37,297.0,Yes,False
79,1,No,0,107,37.55,220.9,97,16.34,192.2,2,3.29,12.2,74,7.25,161.0,No,False
106,1,No,0,121,39.98,235.2,87,18.75,220.6,4,3.19,11.8,91,10.63,236.3,No,False
63,1,No,0,96,35.29,207.6,112,19.47,229.0,2,3.59,13.3,131,7.32,162.6,No,False
112,0,No,0,101,33.05,194.4,82,16.18,190.3,2,3.08,11.4,107,8.25,183.4,No,False
77,4,No,28,117,23.1,135.9,102,20.78,244.5,3,3.11,11.5,74,9.34,207.5,Yes,True
39,2,No,0,104,26.2,154.1,112,17.36,204.2,4,2.65,9.8,92,8.83,196.2,No,False
120,1,No,0,123,32.74,192.6,105,17.54,206.4,3,2.92,10.8,93,12.74,283.2,No,False
51,2,Yes,12,60,23.09,135.8,134,17.05,200.6,7,3.32,12.3,98,8.66,192.4,Yes,False
135,2,No,0,91,40.78,239.9,104,15.05,177.1,3,1.59,5.9,118,9.77,217.2,No,False
58,2,No,0,105,41.33,243.1,108,19.67,231.4,4,2.11,7.8,120,8.14,180.9,No,False
95,1,No,0,104,22.85,134.4,95,12.95,152.4,3,2.54,9.4,80,10.64,236.5,No,False
163,2,No,25,99,37.33,219.6,99,17.88,210.4,8,3.73,13.8,88,10.92,242.7,Yes,False
116,1,No,0,106,8.69,51.1,137,17.73,208.6,3,3.32,12.3,92,8.91,198.0,No,False
90,2,No,0,93,37.74,222.0,103,15.9,187.0,6,3.35,12.4,124,12.7,282.3,No,False
127,2,No,0,100,37.57,221.0,113,13.66,160.7,4,1.84,6.8,96,10.49,233.1,No,False
155,0,Yes,0,94,27.73,163.1,108,24.79,291.7,3,3.02,11.2,111,4.34,96.4,No,False
132,1,No,31,101,29.67,174.5,105,20.88,245.6,9,2.78,10.3,76,7.78,172.8,Yes,False
150,1,No,0,123,28.76,169.2,83,18.43,216.8,3,3.4,12.6,107,8.07,179.4,No,False
29,1,No,0,71,33.25,195.6,74,10.74,126.4,4,3.83,14.2,87,6.69,148.6,No,False
128,1,No,0,111,36.72,216.0,115,13.06,153.7,4,3.43,12.7,74,10.22,227.0,No,False
117,1,No,0,104,27.47,161.6,119,16.69,196.3,2,3.73,13.8,111,13.27,294.8,No,False
128,1,No,25,110,45.07,265.1,99,16.78,197.4,3,2.7,10.0,91,11.01,244.7,Yes,False
18,3,No,0,97,33.49,197.0,107,17.31,203.7,3,2.35,8.7,105,9.09,202.0,No,False
61,3,No,25,78,27.83,163.7,112,9.62,113.2,3,2.67,9.9,118,6.03,134.1,Yes,False
121,3,No,24,88,37.09,218.2,108,29.62,348.5,7,2.03,7.5,118,9.57,212.6,Yes,False
27,2,No,0,128,34.2,201.2,100,19.31,227.2,3,2.27,8.4,91,6.56,145.8,No,False
43,1,No,0,101,41.12,241.9,121,11.0,129.4,3,1.59,5.9,104,11.92,264.8,No,False
194,0,No,0,88,27.59,162.3,118,18.16,213.7,2,2.94,10.9,81,8.64,192.1,No,False
170,0,No,37,130,30.28,178.1,103,20.64,242.8,4,3.51,13.0,93,10.93,243.0,Yes,False
190,1,No,0,102,28.8,169.4,113,21.55,253.5,5,2.4,8.9,93,8.87,197.1,No,False
131,2,No,0,80,16.05,94.4,101,18.28,215.1,9,3.54,13.1,108,8.09,179.7,No,False
152,5,No,20,105,40.65,239.1,111,17.77,209.1,3,3.59,13.3,130,12.07,268.2,Yes,False
120,1,No,24,81,38.68,227.5,71,19.97,234.9,13,2.43,9.0,128,7.49,166.4,Yes,False
52,1,No,0,97,34.75,204.4,128,23.22,273.2,5,2.97,11.0,118,8.08,179.6,No,False
63,1,Yes,36,110,33.83,199.0,111,24.76,291.3,6,2.97,11.0,92,8.89,197.6,Yes,False
109,0,No,0,120,31.28,184.0,119,10.23,120.4,3,2.97,11.0,86,6.92,153.7,No,False
59,1,No,0,65,34.73,204.3,123,21.02,247.3,4,3.24,12.0,94,9.66,214.7,No,False
89,1,No,0,95,51.66,303.9,114,22.18,260.9,3,1.43,5.3,89,14.04,312.1,No,True
134,2,No,50,130,35.5,208.8,104,11.3,132.9,4,3.0,11.1,107,6.15,136.7,Yes,False
172,4,No,0,109,34.66,203.9,123,19.89,234.0,4,4.81,17.8,65,7.23,160.7,No,False
171,3,No,25,77,37.94,223.2,118,15.57,183.2,3,2.75,10.2,90,6.79,150.8,Yes,False
136,2,Yes,0,103,31.18,183.4,113,12.06,141.9,9,2.81,10.4,122,9.02,200.4,No,False
75,0,No,46,62,36.4,214.1,111,17.08,200.9,6,2.48,9.2,126,11.11,246.8,Yes,False
62,1,No,0,111,21.88,128.7,104,14.41,169.5,5,2.78,10.3,97,8.71,193.6,No,False
96,1,No,0,105,47.07,276.9,94,20.99,246.9,3,2.78,10.3,107,11.45,254.4,No,True
92,0,Yes,0,125,43.49,255.8,111,12.13,142.7,3,3.16,11.7,101,8.15,181.2,No,False
113,2,No,0,141,26.52,156.0,72,21.83,256.8,5,3.21,11.9,123,7.89,175.3,No,False
91,1,No,0,71,37.04,217.9,116,19.56,230.1,2,2.86,10.6,110,10.44,232.1,No,False
103,1,No,37,78,26.1,153.5,108,20.56,241.9,3,2.86,10.6,110,11.01,244.7,Yes,False
54,2,No,33,90,19.04,112.0,112,17.68,208.0,4,3.05,11.3,83,6.76,150.3,Yes,False
161,1,No,0,109,30.28,178.1,86,12.45,146.5,2,2.3,8.5,78,6.19,137.6,No,False
67,0,No,0,70,19.64,115.5,143,21.44,252.2,6,2.03,7.5,91,9.4,208.9,No,False
99,0,No,0,93,26.4,155.3,95,22.58,265.7,4,3.35,12.4,67,6.56,145.7,No,False
80,0,No,0,89,25.76,151.5,78,11.19,131.7,4,3.19,11.8,131,10.59,235.3,No,False
120,2,No,0,103,31.37,184.5,86,17.77,209.0,6,2.75,10.2,70,7.64,169.7,No,False
116,2,No,34,83,45.66,268.6,142,15.15,178.2,3,3.13,11.6,106,7.48,166.3,Yes,False
108,0,No,41,110,29.17,171.6,78,11.57,136.1,7,2.92,10.8,103,8.25,183.4,Yes,False
124,0,No,0,103,32.98,194.0,116,20.49,241.0,5,3.21,11.9,153,10.24,227.5,No,False
40,0,Yes,0,100,37.54,220.8,106,22.58,265.7,3,1.73,6.4,94,9.58,212.8,No,False
152,1,No,0,93,38.78,228.1,106,11.59,136.4,2,2.43,9.0,107,8.88,197.3,No,False
84,2,No,0,125,27.12,159.5,90,21.0,247.1,4,1.94,7.2,82,8.46,187.9,No,False
142,0,No,38,104,27.76,163.3,114,11.56,136.0,6,1.16,4.3,127,11.21,249.1,Yes,False
63,2,No,0,81,26.1,153.5,115,24.42,287.3,5,1.76,6.5,85,10.36,230.2,No,False
129,1,No,0,120,23.43,137.8,110,19.19,225.8,6,2.75,10.2,95,6.53,145.2,No,True
130,2,No,0,81,22.51,132.4,110,17.03,200.3,1,1.62,6.0,103,9.11,202.5,No,False
74,0,No,0,89,17.46,102.7,100,12.69,149.3,5,2.97,11.0,114,8.46,188.1,No,False
171,1,No,0,69,45.99,270.5,112,19.55,230.0,5,2.59,9.6,111,6.12,136.0,No,True
92,4,No,23,83,28.46,167.4,129,21.98,258.6,3,3.02,11.2,110,5.24,116.4,Yes,False
54,3,Yes,0,91,40.17,236.3,130,12.99,152.8,8,3.02,11.2,98,7.21,160.3,No,False
35,0,No,0,129,17.95,105.6,129,21.95,258.2,3,2.35,8.7,77,9.59,213.1,No,False
122,0,No,0,87,24.51,144.2,74,18.04,212.2,4,2.57,9.5,87,7.62,169.3,No,False
145,1,Yes,30,107,29.8,175.3,116,13.03,153.3,3,3.0,11.1,85,10.51,233.6,Yes,False
143,1,No,0,113,18.72,110.1,59,14.37,169.0,2,2.48,9.2,94,7.5,166.7,No,False
110,4,No,0,110,41.23,242.5,140,13.8,162.3,3,2.11,7.8,86,8.28,184.1,No,False
85,3,Yes,0,86,19.75,116.2,127,19.52,229.7,3,2.73,10.1,109,9.19,204.2,No,False
90,2,No,0,72,26.84,157.9,93,19.89,234.0,5,3.29,12.2,86,9.45,210.0,No,False
120,1,No,0,131,36.06,212.1,104,17.8,209.4,5,1.43,5.3,96,7.52,167.2,No,True
189,3,No,38,98,43.64,256.7,120,12.79,150.5,3,3.08,11.4,87,5.54,123.0,Yes,False
153,1,No,0,56,26.28,154.6,84,22.36,263.0,2,4.19,15.5,89,16.55,367.7,No,False
115,2,No,14,86,32.69,192.3,90,7.54,88.7,3,2.84,10.5,120,10.32,229.4,Yes,False
43,0,Yes,0,105,42.76,251.5,104,18.09,212.8,4,2.51,9.3,67,7.1,157.8,No,False
155,1,No,39,106,31.16,183.3,101,17.43,205.1,7,1.38,5.1,90,11.87,263.7,Yes,False
97,1,No,28,93,48.13,283.1,98,15.76,185.4,8,1.65,6.1,78,14.08,312.8,Yes,False
75,4,No,19,90,35.75,210.3,87,20.55,241.8,3,3.54,13.1,102,9.71,215.7,Yes,False
151,0,No,0,116,30.38,178.7,138,24.83,292.1,4,2.65,9.8,101,11.97,265.9,No,False
93,0,No,0,120,25.43,149.6,85,17.06,200.7,9,3.86,14.3,107,8.15,181.2,No,False
69,0,No,0,87,33.34,196.1,66,20.13,236.8,1,3.21,11.9,75,8.2,182.3,No,False
97,3,No,0,76,35.87,211.0,100,16.07,189.0,4,1.27,4.7,102,5.54,123.0,No,False
192,4,No,0,101,37.67,221.6,50,24.24,285.2,6,3.43,12.7,83,7.53,167.4,No,False
112,1,No,0,108,44.44,261.4,102,13.13,154.5,2,3.13,11.6,90,5.89,130.9,No,False
47,1,No,28,109,29.39,172.9,94,11.7,137.6,6,2.24,8.3,109,9.17,203.8,Yes,False
92,2,No,0,113,33.52,197.2,116,20.6,242.3,5,2.97,11.0,76,8.64,192.0,No,False
103,0,No,0,104,27.23,160.2,70,11.81,138.9,2,2.62,9.7,97,14.06,312.5,No,False
63,1,No,32,113,5.25,30.9,113,15.9,187.0,7,2.32,8.6,101,10.39,230.8,Yes,False
45,1,No,0,87,35.92,211.3,97,14.08,165.7,6,3.59,13.3,72,11.97,265.9,No,False
124,0,No,0,72,30.33,178.4,134,19.86,233.6,2,3.24,12.0,91,8.07,179.4,No,False
120,1,No,0,85,25.6,150.6,128,10.12,119.0,2,1.73,6.4,123,10.48,232.9,No,False
131,1,No,0,129,28.31,166.5,107,17.87,210.2,5,2.67,9.9,93,11.57,257.2,No,False
64,2,No,0,147,33.01,194.2,87,14.74,173.4,2,1.49,5.5,114,12.09,268.7,No,False
96,3,No,0,68,33.61,197.7,53,21.29,250.5,3,2.84,10.5,67,8.15,181.2,No,False
123,1,No,0,119,27.73,163.1,51,21.2,249.4,10,2.43,9.0,77,7.57,168.2,No,False
56,4,No,0,99,27.59,162.3,78,12.67,149.1,1,4.0,14.8,115,11.5,255.5,No,True
81,2,No,0,93,33.73,198.4,108,17.93,210.9,6,2.81,10.4,71,8.7,193.3,No,False
161,0,No,38,112,40.87,240.4,102,17.15,201.8,6,4.35,16.1,112,9.27,206.1,Yes,False
112,2,No,0,77,57.04,335.5,109,18.06,212.5,8,3.43,12.7,132,11.93,265.0,No,True
176,3,No,0,76,37.94,223.2,131,18.22,214.4,2,2.73,10.1,80,6.95,154.4,No,False
117,1,No,0,98,16.51,97.1,131,19.38,228.0,3,2.86,10.6,111,10.8,240.0,No,False
105,2,No,0,102,26.61,156.5,134,11.92,140.2,2,3.29,12.2,111,10.23,227.4,No,False
117,1,Yes,0,118,48.86,287.4,84,22.07,259.6,3,2.7,10.0,86,6.89,153.2,No,True
87,0,Yes,0,80,22.81,134.2,71,14.03,165.0,5,2.89,10.7,102,7.79,173.1,No,False
141,5,No,0,90,41.28,242.8,80,19.9,234.1,3,1.62,6.0,104,9.52,211.5,No,False
89,1,No,35,108,29.65,174.4,100,16.72,196.7,3,3.19,11.8,74,5.73,127.4,Yes,False
58,1,No,39,40,36.02,211.9,76,23.32,274.4,4,1.46,5.4,139,9.47,210.5,Yes,False
103,2,No,0,103,21.98,129.3,89,17.24,202.8,2,3.48,12.9,126,10.49,233.0,No,False
46,1,No,0,67,20.77,122.2,62,14.21,167.2,6,2.62,9.7,98,8.77,194.8,No,False
95,0,No,20,78,28.17,165.7,94,18.33,215.6,6,2.65,9.8,91,10.95,243.3,Yes,False
112,0,No,0,150,35.48,208.7,104,18.09,212.8,4,2.3,8.5,98,8.01,178.1,No,False
90,1,No,0,83,41.89,246.4,88,13.63,160.3,7,2.05,7.6,99,7.69,170.9,No,False
110,1,No,0,92,3.21,18.9,81,21.96,258.4,4,4.0,14.8,74,4.93,109.6,No,False
138,3,No,0,117,29.14,171.4,128,9.79,115.2,4,4.59,17.0,115,10.1,224.5,No,False
22,0,No,0,107,18.75,110.3,93,14.15,166.5,5,2.57,9.5,96,9.1,202.3,No,False
36,2,No,0,129,30.24,177.9,87,19.09,224.6,6,2.92,10.8,102,13.78,306.3,No,False
96,1,No,0,102,24.48,144.0,73,19.1,224.7,7,2.7,10.0,91,10.25,227.7,No,False
175,1,No,0,95,22.44,132.0,74,19.65,231.2,10,2.35,8.7,108,14.1,313.4,No,False
135,2,No,22,113,33.51,197.1,95,22.05,259.4,5,3.94,14.6,135,6.06,134.7,Yes,False
126,2,Yes,0,126,33.59,197.6,112,20.95,246.5,8,3.38,12.5,104,12.84,285.3,No,False
141,0,No,0,121,24.91,146.5,125,14.44,169.9,5,2.21,8.2,112,10.75,238.8,No,False
113,1,No,0,99,32.95,193.8,125,18.82,221.4,6,2.86,10.6,67,7.75,172.3,No,False
68,1,No,0,112,36.36,213.9,100,22.14,260.5,3,2.27,8.4,97,10.52,233.8,No,True
95,3,No,32,109,41.99,247.0,91,10.68,125.6,4,2.84,10.5,90,10.19,226.5,Yes,False
100,4,Yes,0,112,37.3,219.4,102,19.18,225.7,4,3.24,12.0,95,11.49,255.3,No,False
51,0,No,0,111,28.78,169.3,69,11.86,139.5,3,3.24,12.0,87,8.87,197.0,No,False
106,0,No,30,105,37.42,220.1,109,18.89,222.2,8,3.54,13.1,96,7.13,158.4,Yes,False
71,0,No,0,92,17.68,104.0,125,16.75,197.0,8,3.94,14.6,123,4.95,110.1,No,False
113,5,No,0,111,10.4,61.2,88,7.85,92.3,3,3.7,13.7,114,8.88,197.4,No,True
101,3,No,0,85,45.85,269.7,86,17.65,207.6,15,1.22,4.5,107,9.64,214.2,No,True
115,3,No,0,115,45.56,268.0,106,13.06,153.6,1,4.59,17.0,65,10.45,232.3,No,False
123,0,No,0,150,17.85,105.0,90,21.39,251.6,5,4.02,14.9,93,11.61,258.0,No,False
67,2,No,36,111,19.65,115.6,94,20.2,237.7,12,2.67,9.9,103,7.65,169.9,Yes,False
116,0,No,0,84,22.0,129.4,89,13.37,157.3,3,3.59,13.3,77,9.7,215.5,No,False
9,1,No,31,130,32.95,193.8,98,17.22,202.6,2,3.59,13.3,102,8.6,191.2,Yes,False
13,1,No,0,74,24.89,146.4,92,12.62,148.5,3,3.05,11.3,96,9.75,216.7,No,False
174,1,No,15,143,37.71,221.8,115,17.9,210.6,9,3.35,12.4,109,9.98,221.8,Yes,False
87,2,No,0,106,26.06,153.3,117,19.08,224.5,5,2.4,8.9,152,12.3,273.4,No,False
114,1,No,0,118,14.4,84.7,86,21.24,249.9,8,3.92,14.5,95,8.7,193.4,No,False
58,2,No,0,100,28.12,165.4,87,9.83,115.7,5,3.46,12.8,118,8.72,193.8,No,False
149,0,No,0,79,40.39,237.6,107,16.35,192.4,9,2.46,9.1,111,9.33,207.4,No,False
35,5,No,0,115,23.48,138.1,82,13.45,158.2,2,2.78,10.3,118,9.71,215.7,No,True
119,0,No,24,94,36.92,217.2,52,11.79,138.7,4,3.05,11.3,85,6.27,139.3,Yes,False
121,0,No,0,126,24.62,144.8,82,17.05,200.6,9,3.59,13.3,81,9.4,208.8,No,True
194,0,No,0,106,32.86,193.3,150,14.37,169.0,4,3.19,11.8,122,10.13,225.2,No,False
86,1,No,31,139,28.49,167.6,118,9.61,113.0,6,3.29,12.2,121,11.11,246.9,Yes,False
108,1,No,0,122,23.56,138.6,117,14.65,172.3,3,2.65,9.8,92,10.42,231.6,No,False
137,1,No,0,107,21.59,127.0,75,27.47,323.2,2,2.03,7.5,127,6.48,143.9,No,False
137,2,No,0,122,35.09,206.4,102,10.88,128.0,5,2.38,8.8,84,8.75,194.5,No,False
118,1,No,0,113,22.68,133.4,92,10.29,121.0,4,1.59,5.9,129,11.46,254.7,No,False
64,0,No,48,104,16.05,94.4,101,11.58,136.2,4,1.22,4.5,89,6.63,147.4,Yes,False
54,0,No,33,73,27.51,161.8,58,23.21,273.0,4,3.7,13.7,76,6.93,153.9,Yes,False
66,2,No,26,108,43.33,254.9,135,20.67,243.2,3,1.46,5.4,95,8.59,190.8,Yes,False
108,4,No,0,123,26.21,154.2,86,9.55,112.3,4,4.16,15.4,75,11.09,246.4,No,True
75,1,No,0,91,32.39,190.5,75,15.16,178.4,5,3.54,13.1,113,7.31,162.4,No,False
68,1,No,34,72,27.2,160.0,119,15.68,184.5,10,1.65,6.1,101,9.37,208.3,Yes,False
16,3,No,0,100,27.52,161.9,138,19.56,230.1,11,2.75,10.2,78,6.7,148.8,No,False
148,1,No,0,92,34.51,203.0,125,12.83,150.9,9,3.94,14.6,131,11.05,245.5,No,False
161,2,No,0,120,12.38,72.8,120,22.7,267.1,2,3.19,11.8,91,10.01,222.5,No,False
113,2,No,0,97,31.89,187.6,118,17.7,208.2,6,2.35,8.7,101,7.15,158.9,No,False
56,1,No,0,112,38.42,226.0,118,21.12,248.5,11,1.86,6.9,142,6.32,140.5,No,False
81,1,Yes,37,76,40.31,237.1,125,22.46,264.2,3,2.13,7.9,120,12.21,271.3,Yes,False
65,2,No,0,89,32.64,192.0,88,11.86,139.5,4,1.49,5.5,102,8.43,187.4,No,False
81,3,No,36,120,19.7,115.9,95,20.11,236.6,6,3.16,11.7,90,11.48,255.0,Yes,False
70,1,No,0,110,39.15,230.3,87,6.62,77.9,4,3.56,13.2,105,11.12,247.1,No,False
88,1,No,0,124,45.02,264.8,112,20.86,245.4,2,4.0,14.8,115,7.22,160.5,No,True
24,3,No,29,105,40.17,236.3,114,16.22,190.8,2,1.94,7.2,105,5.81,129.0,Yes,False
76,0,Yes,0,110,41.96,246.8,63,17.54,206.3,5,3.56,13.2,123,9.38,208.4,No,True
49,0,No,0,79,36.35,213.8,93,22.53,265.1,7,4.21,15.6,128,10.79,239.8,No,False
122,0,No,0,96,39.53,232.5,120,17.47,205.5,2,3.21,11.9,91,9.62,213.7,No,False
52,0,Yes,0,118,42.74,251.4,80,16.71,196.6,2,2.97,11.0,53,8.64,192.0,No,True
180,3,No,0,121,24.4,143.5,111,16.09,189.3,5,2.38,8.8,82,7.87,174.9,No,False
102,4,No,0,125,39.92,234.8,99,16.93,199.2,1,2.7,10.0,88,7.34,163.2,No,False
114,0,No,31,98,37.88,222.8,105,15.34,180.5,4,3.51,13.0,101,6.81,151.3,Yes,False
123,3,No,32,77,36.09,212.3,78,21.38,251.5,2,1.78,6.6,85,9.39,208.7,Yes,False
21,0,No,0,110,38.25,225.0,111,20.76,244.2,4,2.89,10.7,93,9.95,221.2,No,False
163,2,No,22,91,36.57,215.1,102,11.81,138.9,2,3.35,12.4,109,6.58,146.2,Yes,False
77,0,No,17,84,34.83,204.9,102,17.09,201.0,5,3.05,11.3,97,9.89,219.7,Yes,False
13,4,No,0,89,32.84,193.2,90,16.52,194.4,2,2.62,9.7,104,8.39,186.5,No,False
107,1,No,25,91,42.26,248.6,115,10.14,119.3,1,3.24,12.0,83,8.74,194.3,Yes,False
36,0,No,0,117,26.79,157.6,58,15.67,184.3,1,3.21,11.9,99,10.82,240.4,No,False
155,2,No,0,30,36.84,216.7,125,12.27,144.3,1,2.92,10.8,106,6.09,135.3,No,False
88,1,No,0,116,30.86,181.5,119,15.9,187.0,7,2.84,10.5,96,9.91,220.3,No,False
148,0,Yes,0,88,37.21,218.9,85,17.68,208.0,4,3.0,11.1,99,9.15,203.3,No,False
37,2,No,0,120,40.78,239.9,88,22.24,261.6,4,2.4,8.9,88,9.32,207.1,No,True
82,1,No,24,131,26.38,155.2,106,20.78,244.5,3,2.89,10.7,68,5.51,122.4,Yes,False
157,1,No,30,107,33.03,194.3,108,20.67,243.2,5,1.92,7.1,114,14.5,322.2,Yes,False
154,1,No,0,75,59.64,350.8,94,18.4,216.5,9,2.73,10.1,100,11.43,253.9,No,True
46,1,No,0,81,23.7,139.4,113,19.01,223.7,6,3.67,13.6,77,7.79,173.1,No,False
134,0,No,32,78,36.86,216.8,111,8.69,102.2,2,2.32,8.6,83,7.83,174.0,Yes,False
130,1,No,0,129,19.65,115.6,104,14.26,167.8,9,3.4,12.6,124,6.38,141.8,No,False
139,1,No,0,109,40.22,236.6,107,14.44,169.9,2,3.0,11.1,118,9.55,212.3,No,True
51,1,No,0,99,31.13,183.1,107,13.61,160.1,3,1.89,7.0,121,14.03,311.8,No,False
33,2,No,0,65,31.03,182.5,96,19.73,232.1,2,2.03,7.5,82,6.71,149.2,No,False
163,5,No,0,100,34.49,202.9,46,15.18,178.6,3,3.46,12.8,116,9.17,203.8,No,False
118,1,No,24,83,20.08,118.1,72,9.32,109.6,2,4.56,16.9,73,11.05,245.5,Yes,False
210,3,No,31,87,53.35,313.8,103,12.55,147.7,7,2.73,10.1,97,8.67,192.7,Yes,False
135,0,Yes,41,85,29.43,173.1,107,17.33,203.9,15,3.94,14.6,78,5.5,122.2,Yes,True
109,0,No,0,138,27.64,162.6,109,13.09,154.0,4,3.11,11.5,118,9.44,209.7,No,False
127,2,No,0,93,37.16,218.6,130,12.74,149.9,5,2.48,9.2,131,9.21,204.6,No,False
1,1,No,0,74,29.78,175.2,79,12.89,151.7,3,1.43,5.3,109,10.37,230.5,No,False
63,1,Yes,0,112,10.69,62.9,111,17.25,202.9,8,2.4,8.9,58,11.66,259.0,No,False
112,1,Yes,16,72,34.05,200.3,91,16.81,197.8,3,2.81,10.4,92,6.8,151.1,Yes,False
100,2,No,0,117,44.97,264.5,111,16.49,194.0,4,2.03,7.5,111,11.82,262.7,No,True
161,4,No,0,84,26.3,154.7,125,15.11,177.8,2,1.59,5.9,90,7.78,172.9,No,True
109,2,No,0,101,29.02,170.7,82,20.42,240.2,4,3.08,11.4,112,5.36,119.0,No,False
179,1,No,0,134,39.87,234.5,94,13.96,164.2,4,1.65,6.1,72,8.61,191.4,No,False
103,5,No,0,107,34.83,204.9,102,11.49,135.2,3,2.81,10.4,106,9.37,208.2,No,False
120,2,No,0,99,16.69,98.2,85,15.87,186.7,4,2.51,9.3,96,6.6,146.7,No,False
134,2,No,0,91,30.12,177.2,105,19.44,228.7,3,2.4,8.9,113,8.74,194.3,No,False
98,3,No,29,97,30.58,179.9,89,16.08,189.2,7,3.46,12.8,76,7.39,164.3,Yes,False
144,1,No,0,99,34.19,201.1,74,25.8,303.5,2,3.56,13.2,119,10.08,224.0,No,False
93,3,No,0,114,45.54,267.9,74,18.96,223.0,3,3.05,11.3,90,11.82,262.7,No,True
54,2,No,0,85,42.08,247.5,93,19.16,225.4,2,2.75,10.2,132,10.99,244.3,No,True
57,2,Yes,30,130,39.87,234.5,116,16.59,195.2,4,3.08,11.4,94,12.1,268.8,Yes,False
113,3,No,0,85,15.74,92.6,92,15.1,177.6,4,3.89,14.4,72,7.19,159.8,No,False
111,0,No,0,89,48.35,284.4,113,13.35,157.0,8,2.27,8.4,91,10.93,242.8,No,True
137,2,No,0,91,23.99,141.1,100,12.51,147.2,7,2.16,8.0,75,11.46,254.7,No,False
88,1,No,0,67,19.33,113.7,127,14.03,165.1,3,2.92,10.8,142,6.37,141.5,No,False
113,0,Yes,0,93,21.28,125.2,119,17.54,206.4,8,2.24,8.3,139,5.82,129.3,No,False
156,1,No,0,96,21.03,123.7,80,8.76,103.0,4,3.54,13.1,82,8.52,189.4,No,False
125,2,No,0,113,21.54,126.7,131,13.22,155.5,7,3.89,14.4,112,9.28,206.2,No,False
69,3,No,0,70,33.2,195.3,108,18.42,216.7,4,3.38,12.5,119,11.7,259.9,No,False
131,1,No,0,95,18.62,109.5,48,28.23,332.1,7,1.78,6.6,108,11.64,258.6,No,False
59,1,No,0,79,26.38,155.2,123,20.0,235.3,4,2.35,8.7,80,7.62,169.4,No,False
93,2,No,19,113,23.26,136.8,105,15.26,179.5,3,3.38,12.5,95,3.2,71.1,Yes,False
137,0,No,0,90,24.48,144.0,100,15.44,181.6,2,3.32,12.3,93,5.76,128.1,No,False
83,0,No,0,101,20.04,117.9,92,13.63,160.4,10,3.08,11.4,150,10.59,235.3,No,False
149,1,No,43,79,35.14,206.7,122,14.84,174.6,3,2.94,10.9,80,10.87,241.5,Yes,False
47,2,No,37,150,19.18,112.8,97,20.73,243.9,6,3.56,13.2,112,8.04,178.7,Yes,False
147,3,No,0,83,42.26,248.6,85,12.66,148.9,4,2.16,8.0,109,7.76,172.5,No,False
65,4,No,34,119,35.5,208.8,106,12.08,142.1,4,3.38,12.5,87,9.66,214.6,Yes,False
107,0,No,0,100,20.93,123.1,82,13.46,158.4,5,2.51,9.3,82,11.52,256.1,No,False
56,1,No,0,84,20.67,121.6,115,14.05,165.3,2,2.4,8.9,95,10.98,243.9,No,False
78,1,Yes,0,141,40.26,236.8,101,22.55,265.3,2,2.57,9.5,77,6.86,152.4,No,True
65,4,No,0,137,21.95,129.1,83,19.42,228.5,6,3.43,12.7,111,9.4,208.8,No,True
177,2,No,0,77,14.43,84.9,109,21.89,257.5,5,2.03,7.5,66,9.47,210.5,No,False
155,2,Yes,0,146,42.64,250.8,105,12.96,152.5,5,2.7,10.0,104,6.66,148.1,No,False
148,1,No,0,121,2.99,17.6,125,13.74,161.7,6,2.86,10.6,82,9.14,203.1,No,False
22,1,No,0,108,27.27,160.4,88,18.54,218.1,4,3.38,12.5,115,8.68,192.9,No,False
63,0,No,0,104,25.38,149.3,75,23.26,273.6,4,2.46,9.1,72,9.3,206.6,No,False
16,1,No,0,65,26.04,153.2,90,19.52,229.7,8,2.89,10.7,94,6.67,148.2,No,False
103,3,No,0,83,29.5,173.5,65,20.77,244.3,2,2.62,9.7,66,9.97,221.6,No,False
77,2,No,0,136,24.63,144.9,115,12.86,151.3,3,3.32,12.3,73,11.36,252.4,No,False
